summary	Mass	Metallicity	Logg	Spectral_type	Distance	Temperature	Radius	vsini	spectral_index_01	spectral_index_02	spectral_index_03	spectral_index_04	spectral_index_05	spectral_index_06
count	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
mean	0.5404600000000003	0.4845	4.5045	0.05404500000000002	49.81725399999998	4621.38	0.5404600000000003	77.0	6.560057999999992	15.417951999999984	-1.0307769999999918	7.230974999999996	21.978014	299.7
stddev	0.2657118197807	0.39895979611850474	0.40359960684153623	0.02657644224275102	29.057732599383957	797.1416436242527	0.2657118197807	0.0	1.0758000661918634	2.8509792729008945	11.420296354214678	8.988162617109605	3.7812923901682005	173.29166165745133
min	0.081	0.0	4.0	0.008	0.189	3242.76	0.081	77.0	5.062	11.391	-15.625	0.357	16.453	0.0
max	1.0	1.0	5.0	0.1	99.928	6000.0	1.0	77.0	8.59	28.862	17.245	59.485	36.536	599.4
