summary	data_01	data_02	data_03	data_04	data_05	data_06	data_07	data_08	data_09	data_10
count	100	100	100	100	100	100	100	100	100	100
mean	49.5	267.49543	0.6767099999999999	0.67424	24.574309999999997	0.6909999999999998	346.5	396.0	445.5	49.5
stddev	29.011491975882016	223.20819263978711	0.09674200773503754	0.1062258048506182	21.78986343414494	0.0	203.0804438311741	232.09193580705613	261.1034277829381	29.011491975882016
min	0.0	0.0	0.501	0.501	0.0	0.691	0.0	0.0	0.0	0.0
max	99.0	922.006	0.836	0.841	92.358	0.691	693.0	792.0	891.0	99.0
